####LINKS####
https://craftpix.net/product/game-ui-pixel-art/
https://craftpix.net/sets/shooter-characters-pixel-art-sprite-collection/
https://craftpix.net/freebies/free-city-backgrounds-pixel-art/  
https://craftpix.net/freebies/free-mountain-backgrounds-pixel-art/
https://craftpix.net/freebies/free-sky-with-clouds-background-pixel-art-set/
https://craftpix.net/product/landscape-game-backgrounds/

NS = not started = 237
S = started = 0
D = done = 3
Total Animations = 1393
Animations Left = 1372
##########White Cop Male##########
WhiteCopMaleJump 1 - 8 NS
WhiteCopMaleShootPistol 1 - 4 NS
WhiteCopMaleShootTaser 1 - 7 NS
WhiteCopMaleReloadPistol 1 - 8 NS
WhiteCopMaleReloadTaser 1 - 8 NS
WhiteCopMaleHurt 1 - 4 NS
WhiteCopMaleDead 1 - 5 NS
##########Black Cop Male##########
BlackCopMaleIdle 1 - 6 NS
BlackCopMaleWalk 1 - 8 NS
BlackCopMaleRun 1 - 8 NS
BlackCopMaleJump 1 - 8 NS
BlackCopMaleShootShotgun 1 - 7 NS
BlackCopMaleShootPistol 1 - 4 NS
BlackCopMaleReloadShotgun 1 - 7 NS
BlackCopMaleReloadPistol 1 - 8 NS
BlackCopMaleHurt 1 - 3 NS
BlackCopMaleDead 1 - 4 NS
##########White Cop Female##########
WhiteCopFemaleIdle 1 - 6 NS
WhiteCopFemaleWalk 1 - 8 NS
WhiteCopFemaleRun 1 - 8 NS
WhiteCopFemalJump 1 - 8 NS
WhiteCopFemaleShootPistol 1 - 4 NS
WhiteCopFemaleReloadPistol 1 - 8 NS
WhiteCopFemaleBatonSideswing 1 - 4 NS
WhiteCopFemaleBatonSwing 1 - 4 NS
WhiteCopFemaleHurt 1 - 3 NS
WhiteCopFemaleDead 1 - 3 NS
##########White Zombie Female Military##########
WhiteZombieFemaleMilitaryIdle 1 - 7 NS
WhiteZombieFemaleMilitaryWalk 1 - 8 NS
WhiteZombieFemaleMilitaryRun 1 - 8 NS
WhiteZombieFemaleMilitaryJump 1 - 8 NS
WhiteZombieFemaleMilitarySwing 1 - 7 NS
WhiteZombieFemaleMilitaryPunch 1 - 5 NS
WhiteZombieFemaleMilitaryBite 1 - 7 NS
WhiteZombieFemaleMilitaryIdleTwo 1 - 7 NS
WhiteZombieFemaleMilitaryHurt 1 - 3 NS
